airportid,city,state,name
13891,Ontario,CA,Ontario International
14908,Santa Ana,CA,John Wayne Airport-Orange County
13830,Kahului,HI,Kahului Airport
13930,Chicago,IL,Chicago O'Hare International
10140,Albuquerque,NM,Albuquerque International Sunport
14570,Reno,NV,Reno/Tahoe International
12478,New York,NY,John F. Kennedy International
14307,Providence,RI,Theodore Francis Green State
11259,Dallas,TX,Dallas Love Field
11278,Washington,DC,Ronald Reagan Washington National
12391,Islip,NY,Long Island MacArthur
10257,Albany,NY,Albany International
